Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,Domain_Age,Domain_End,Update_Age,Exact Length,Zero Count,Zero Prop,Period Count,Period Prop,Special Count,Special Prop,Label
0,1,1,0,0,0,1,1,1,0,67,3,0.04477611940298507,2,0.029850746268656716,8,0.11940298507462686,1
0,0,0,0,0,0,0,0,0,0,33,0,0.0,2,0.06060606060606061,6,0.18181818181818182,0
0,1,5,0,0,0,0,1,1,0,70,5,0.07142857142857142,2,0.02857142857142857,11,0.15714285714285714,1
0,0,1,0,0,0,0,0,0,0,28,0,0.0,1,0.03571428571428571,5,0.17857142857142858,0
0,0,0,0,0,0,0,0,0,1,28,0,0.0,1,0.03571428571428571,5,0.17857142857142858,0
0,0,0,0,0,0,0,1,1,0,20,0,0.0,2,0.1,6,0.3,0
0,0,0,0,0,0,0,0,0,0,25,0,0.0,2,0.08,6,0.24,0
0,1,2,0,0,0,0,1,0,0,70,0,0.0,2,0.02857142857142857,12,0.17142857142857143,1
0,0,0,0,0,0,0,0,1,0,19,0,0.0,1,0.05263157894736842,5,0.2631578947368421,1
0,0,2,0,0,0,0,1,1,0,49,0,0.0,4,0.08163265306122448,9,0.1836734693877551,0
0,0,0,0,0,0,0,0,0,1,27,0,0.0,1,0.037037037037037035,5,0.18518518518518517,0
0,0,0,0,0,0,0,0,0,0,26,0,0.0,2,0.07692307692307693,6,0.23076923076923078,0
0,0,0,0,0,0,0,0,0,0,35,0,0.0,2,0.05714285714285714,6,0.17142857142857143,0
0,1,3,0,0,0,0,1,0,0,70,5,0.07142857142857142,2,0.02857142857142857,9,0.12857142857142856,1
0,0,0,0,0,0,0,1,1,0,22,0,0.0,3,0.13636363636363635,7,0.3181818181818182,0
0,1,4,0,0,0,0,0,0,0,56,0,0.0,3,0.05357142857142857,10,0.17857142857142858,1
0,1,3,0,0,0,0,1,1,0,70,1,0.014285714285714285,3,0.04285714285714286,9,0.12857142857142856,1
0,0,0,0,0,0,0,0,0,0,28,0,0.0,2,0.07142857142857142,6,0.21428571428571427,0
0,1,2,0,0,0,0,1,0,0,70,1,0.014285714285714285,3,0.04285714285714286,12,0.17142857142857143,1
0,0,0,0,0,0,0,0,0,0,35,0,0.0,3,0.08571428571428572,7,0.2,0
0,1,4,0,0,0,0,0,0,0,70,1,0.014285714285714285,1,0.014285714285714285,8,0.11428571428571428,1
0,0,0,0,0,0,0,0,0,0,23,0,0.0,2,0.08695652173913043,6,0.2608695652173913,0
0,0,3,0,0,0,0,1,0,0,44,2,0.045454545454545456,2,0.045454545454545456,9,0.20454545454545456,1
0,0,3,0,0,0,0,1,1,0,44,0,0.0,3,0.06818181818181818,11,0.25,0
0,0,3,0,0,0,0,1,0,0,52,0,0.0,3,0.057692307692307696,10,0.19230769230769232,1
0,0,0,0,0,0,1,1,0,0,22,0,0.0,2,0.09090909090909091,7,0.3181818181818182,0
0,0,0,0,0,0,0,0,0,1,24,0,0.0,2,0.08333333333333333,6,0.25,0
0,0,0,0,0,0,0,0,0,0,27,0,0.0,2,0.07407407407407407,6,0.2222222222222222,0
0,0,0,0,0,0,0,0,1,0,33,0,0.0,2,0.06060606060606061,6,0.18181818181818182,0
0,1,2,0,0,0,0,0,0,0,63,0,0.0,3,0.047619047619047616,11,0.1746031746031746,0
0,0,2,0,0,0,0,1,1,0,37,0,0.0,4,0.10810810810810811,9,0.24324324324324326,1
0,1,4,0,0,0,0,0,0,0,64,1,0.015625,1,0.015625,10,0.15625,1
0,1,5,0,0,0,0,0,0,0,92,0,0.0,3,0.03260869565217391,15,0.16304347826086957,0
0,0,0,0,0,0,0,0,0,1,38,0,0.0,2,0.05263157894736842,6,0.15789473684210525,0
0,0,0,0,0,0,0,0,0,0,31,0,0.0,2,0.06451612903225806,6,0.1935483870967742,1
0,0,0,0,0,0,0,0,0,0,26,0,0.0,2,0.07692307692307693,6,0.23076923076923078,0
0,0,1,0,0,0,0,1,0,0,26,0,0.0,2,0.07692307692307693,7,0.2692307692307692,1
0,0,1,0,0,0,0,1,0,0,27,0,0.0,1,0.037037037037037035,5,0.18518518518518517,1
0,0,3,0,0,0,0,1,1,0,53,0,0.0,3,0.05660377358490566,12,0.22641509433962265,0
0,0,0,0,0,0,0,1,1,0,20,0,0.0,1,0.05,5,0.25,0
0,0,2,0,0,0,0,1,0,0,51,0,0.0,2,0.0392156862745098,11,0.21568627450980393,1
0,0,1,0,0,0,0,1,1,0,31,0,0.0,3,0.0967741935483871,7,0.22580645161290322,0
0,1,3,0,0,0,0,1,0,0,70,3,0.04285714285714286,1,0.014285714285714285,7,0.1,1
0,1,3,0,0,0,0,1,1,0,60,1,0.016666666666666666,4,0.06666666666666667,12,0.2,0
0,0,2,0,0,0,0,0,0,0,37,0,0.0,2,0.05405405405405406,7,0.1891891891891892,1
0,0,0,0,0,0,0,0,0,1,29,0,0.0,2,0.06896551724137931,6,0.20689655172413793,0
0,0,1,0,0,0,0,1,1,0,32,2,0.0625,3,0.09375,8,0.25,1
0,0,0,0,0,0,0,0,0,0,25,0,0.0,2,0.08,6,0.24,0
0,0,0,0,0,0,0,0,0,0,31,0,0.0,2,0.06451612903225806,6,0.1935483870967742,0
0,1,3,0,0,0,0,1,0,0,70,2,0.02857142857142857,2,0.02857142857142857,9,0.12857142857142856,1
0,1,0,0,0,0,1,1,1,0,70,1,0.014285714285714285,1,0.014285714285714285,9,0.12857142857142856,1
0,1,6,0,0,0,0,0,1,0,61,0,0.0,1,0.01639344262295082,11,0.18032786885245902,1
0,0,2,0,0,0,0,1,1,0,38,0,0.0,2,0.05263157894736842,8,0.21052631578947367,1
0,0,0,0,0,0,0,0,1,0,25,0,0.0,2,0.08,6,0.24,0
0,1,3,0,0,0,0,1,0,0,56,0,0.0,1,0.017857142857142856,9,0.16071428571428573,1
0,1,2,0,0,0,0,1,0,0,70,0,0.0,2,0.02857142857142857,7,0.1,1
0,0,0,0,0,0,0,0,0,0,32,0,0.0,2,0.0625,6,0.1875,0
0,0,2,0,0,0,0,1,1,0,44,0,0.0,3,0.06818181818181818,8,0.18181818181818182,1
0,0,1,0,0,0,0,0,1,0,48,0,0.0,1,0.020833333333333332,5,0.10416666666666667,1
0,0,0,0,0,0,0,0,0,0,17,0,0.0,1,0.058823529411764705,5,0.29411764705882354,0
0,0,0,0,0,0,0,1,1,0,27,0,0.0,3,0.1111111111111111,7,0.25925925925925924,0
0,0,0,0,0,0,0,0,0,0,34,0,0.0,2,0.058823529411764705,6,0.17647058823529413,0
0,1,2,0,0,0,0,1,0,0,70,0,0.0,3,0.04285714285714286,14,0.2,1
1,0,3,0,0,0,0,0,0,0,47,1,0.02127659574468085,3,0.06382978723404255,12,0.2553191489361702,1
0,1,3,0,0,0,0,1,1,0,70,3,0.04285714285714286,2,0.02857142857142857,8,0.11428571428571428,1
0,0,0,0,0,0,0,0,0,0,36,0,0.0,2,0.05555555555555555,6,0.16666666666666666,0
0,0,0,0,0,0,0,0,0,1,38,0,0.0,2,0.05263157894736842,6,0.15789473684210525,0
0,0,3,0,0,0,0,0,0,0,46,0,0.0,2,0.043478260869565216,8,0.17391304347826086,1
0,0,1,0,0,0,0,1,1,0,30,0,0.0,2,0.06666666666666667,6,0.2,1
0,0,1,0,0,0,1,0,0,0,37,1,0.02702702702702703,3,0.08108108108108109,9,0.24324324324324326,1
0,0,0,0,0,0,0,0,0,0,22,0,0.0,2,0.09090909090909091,6,0.2727272727272727,0
0,0,0,0,0,0,0,0,0,0,28,0,0.0,2,0.07142857142857142,6,0.21428571428571427,0
0,1,6,0,0,0,0,0,0,0,70,0,0.0,2,0.02857142857142857,13,0.18571428571428572,1
0,1,3,0,0,0,0,1,1,0,70,1,0.014285714285714285,2,0.02857142857142857,8,0.11428571428571428,1
0,1,5,1,0,0,0,0,0,0,70,0,0.0,2,0.02857142857142857,12,0.17142857142857143,1
0,1,3,0,0,0,0,0,0,0,70,1,0.014285714285714285,1,0.014285714285714285,8,0.11428571428571428,1
0,0,2,0,0,0,0,0,0,0,40,0,0.0,2,0.05,7,0.175,1
0,0,2,0,0,0,0,1,1,0,46,0,0.0,3,0.06521739130434782,8,0.17391304347826086,1
0,0,2,0,0,0,0,1,1,0,45,0,0.0,3,0.06666666666666667,9,0.2,0
0,0,0,0,0,0,0,0,0,1,27,0,0.0,2,0.07407407407407407,6,0.2222222222222222,0
0,0,0,0,0,0,0,0,0,0,28,0,0.0,2,0.07142857142857142,6,0.21428571428571427,0
0,0,0,0,0,0,0,0,0,1,21,0,0.0,1,0.047619047619047616,5,0.23809523809523808,0
0,0,0,0,0,0,0,1,1,0,33,0,0.0,1,0.030303030303030304,5,0.15151515151515152,1
0,1,2,0,0,0,0,0,0,0,68,1,0.014705882352941176,1,0.014705882352941176,7,0.10294117647058823,1
0,1,3,0,0,0,0,0,0,1,70,7,0.1,2,0.02857142857142857,9,0.12857142857142856,1
0,1,2,0,0,0,0,1,0,0,70,3,0.04285714285714286,2,0.02857142857142857,7,0.1,1
0,0,2,0,0,0,0,0,0,0,44,0,0.0,1,0.022727272727272728,6,0.13636363636363635,1
0,0,0,0,0,0,0,0,0,0,22,0,0.0,1,0.045454545454545456,5,0.22727272727272727,0
0,0,0,0,0,0,0,0,0,0,26,0,0.0,2,0.07692307692307693,6,0.23076923076923078,0
0,0,3,0,0,0,0,0,0,0,45,0,0.0,2,0.044444444444444446,8,0.17777777777777778,1
0,0,0,0,0,0,0,0,0,0,29,0,0.0,2,0.06896551724137931,6,0.20689655172413793,0
0,0,0,0,0,0,0,0,0,0,26,0,0.0,2,0.07692307692307693,6,0.23076923076923078,0
0,1,5,0,0,0,0,1,0,0,70,0,0.0,5,0.07142857142857142,15,0.21428571428571427,1
0,1,5,0,0,0,0,0,0,0,70,0,0.0,2,0.02857142857142857,10,0.14285714285714285,1
0,0,0,0,0,0,0,0,1,0,33,0,0.0,2,0.06060606060606061,6,0.18181818181818182,0
0,0,0,0,0,0,0,0,0,1,31,0,0.0,2,0.06451612903225806,6,0.1935483870967742,0
0,0,0,0,0,0,0,0,0,0,21,0,0.0,2,0.09523809523809523,6,0.2857142857142857,0
0,0,1,0,0,0,0,1,0,0,53,0,0.0,1,0.018867924528301886,6,0.11320754716981132,1
0,0,1,0,0,0,0,1,1,0,38,0,0.0,2,0.05263157894736842,7,0.18421052631578946,1
0,0,0,0,0,0,0,0,0,0,27,0,0.0,2,0.07407407407407407,6,0.2222222222222222,0
0,0,0,0,0,0,0,0,0,1,21,0,0.0,2,0.09523809523809523,6,0.2857142857142857,0
0,0,1,0,0,0,1,0,1,0,52,0,0.0,3,0.057692307692307696,9,0.17307692307692307,1
0,0,0,0,0,0,0,0,1,0,28,0,0.0,2,0.07142857142857142,6,0.21428571428571427,0
0,0,2,0,0,0,0,0,0,0,42,0,0.0,3,0.07142857142857142,8,0.19047619047619047,0
0,0,0,0,0,0,1,0,0,0,31,0,0.0,2,0.06451612903225806,7,0.22580645161290322,0
0,0,0,0,0,0,0,0,0,0,30,0,0.0,2,0.06666666666666667,6,0.2,0
0,0,0,0,0,0,0,0,0,1,27,0,0.0,2,0.07407407407407407,6,0.2222222222222222,0
0,1,3,0,0,0,0,0,1,0,70,0,0.0,3,0.04285714285714286,11,0.15714285714285714,1
0,0,1,0,0,0,0,0,0,0,31,0,0.0,2,0.06451612903225806,7,0.22580645161290322,1
0,0,0,0,0,0,0,0,0,0,28,0,0.0,2,0.07142857142857142,6,0.21428571428571427,0
0,0,2,0,0,0,0,0,0,0,46,0,0.0,3,0.06521739130434782,8,0.17391304347826086,1
0,0,3,0,0,0,1,1,1,0,49,0,0.0,2,0.04081632653061224,9,0.1836734693877551,1
0,1,3,0,0,0,0,0,1,0,60,0,0.0,3,0.05,10,0.16666666666666666,1
